0.5 cpu, 128 ram, 1 iterations, object type, object 1: 0.063ms
2.0 cpu, 1024 ram, 1 iterations, map___ type, map___ 1: 0.056ms
3.0 cpu, 1024 ram, 1 iterations, object type, object 1: 0.06ms
3.0 cpu, 1024 ram, 1 iterations, array_ type, array_ 1: 0.06ms
3.0 cpu, 1024 ram, 1 iterations, map___ type, map___ 1: 0.062ms
4.0 cpu, 1024 ram, 1 iterations, object type, object 1: 0.063ms
4.0 cpu, 1024 ram, 1 iterations, array_ type, array_ 1: 0.066ms
4.0 cpu, 1024 ram, 1 iterations, map___ type, map___ 1: 0.059ms
0.5 cpu, 2048 ram, 1 iterations, object type, object 1: 0.063ms
0.5 cpu, 2048 ram, 1 iterations, array_ type, array_ 1: 0.066ms
0.5 cpu, 2048 ram, 1 iterations, map___ type, map___ 1: 0.066ms
1.0 cpu, 2048 ram, 1 iterations, object type, object 1: 0.06ms
1.0 cpu, 2048 ram, 1 iterations, array_ type, array_ 1: 0.062ms
1.0 cpu, 2048 ram, 1 iterations, map___ type, map___ 1: 0.067ms
2.0 cpu, 2048 ram, 1 iterations, object type, object 1: 0.061ms
2.0 cpu, 2048 ram, 1 iterations, array_ type, array_ 1: 0.056ms
2.0 cpu, 2048 ram, 1 iterations, map___ type, map___ 1: 0.063ms
3.0 cpu, 2048 ram, 1 iterations, object type, object 1: 0.068ms
3.0 cpu, 2048 ram, 1 iterations, array_ type, array_ 1: 0.061ms
3.0 cpu, 2048 ram, 1 iterations, map___ type, map___ 1: 0.054ms
4.0 cpu, 2048 ram, 1 iterations, object type, object 1: 0.063ms
4.0 cpu, 2048 ram, 1 iterations, array_ type, array_ 1: 0.065ms
4.0 cpu, 2048 ram, 1 iterations, map___ type, map___ 1: 0.063ms
0.5 cpu, 4096 ram, 1 iterations, object type, object 1: 0.073ms
0.5 cpu, 4096 ram, 1 iterations, array_ type, array_ 1: 0.064ms
0.5 cpu, 4096 ram, 1 iterations, map___ type, map___ 1: 0.055ms
1.0 cpu, 4096 ram, 1 iterations, object type, object 1: 0.072ms
1.0 cpu, 4096 ram, 1 iterations, array_ type, array_ 1: 0.07ms
1.0 cpu, 4096 ram, 1 iterations, map___ type, map___ 1: 0.056ms
2.0 cpu, 4096 ram, 1 iterations, object type, object 1: 0.06ms
2.0 cpu, 4096 ram, 1 iterations, array_ type, array_ 1: 0.074ms
2.0 cpu, 4096 ram, 1 iterations, map___ type, map___ 1: 0.057ms
3.0 cpu, 4096 ram, 1 iterations, object type, object 1: 0.056ms
3.0 cpu, 4096 ram, 1 iterations, array_ type, array_ 1: 0.077ms
3.0 cpu, 4096 ram, 1 iterations, map___ type, map___ 1: 0.054ms
4.0 cpu, 4096 ram, 1 iterations, object type, object 1: 0.064ms
4.0 cpu, 4096 ram, 1 iterations, array_ type, array_ 1: 0.057ms
4.0 cpu, 4096 ram, 1 iterations, map___ type, map___ 1: 0.061ms
0.5 cpu, 8192 ram, 1 iterations, object type, object 1: 0.069ms
0.5 cpu, 8192 ram, 1 iterations, array_ type, array_ 1: 0.062ms
0.5 cpu, 8192 ram, 1 iterations, map___ type, map___ 1: 0.06ms
1.0 cpu, 8192 ram, 1 iterations, object type, object 1: 0.066ms
1.0 cpu, 8192 ram, 1 iterations, array_ type, array_ 1: 0.068ms
1.0 cpu, 8192 ram, 1 iterations, map___ type, map___ 1: 0.059ms
2.0 cpu, 8192 ram, 1 iterations, object type, object 1: 0.057ms
2.0 cpu, 8192 ram, 1 iterations, array_ type, array_ 1: 0.063ms
2.0 cpu, 8192 ram, 1 iterations, map___ type, map___ 1: 0.061ms
3.0 cpu, 8192 ram, 1 iterations, object type, object 1: 0.063ms
3.0 cpu, 8192 ram, 1 iterations, array_ type, array_ 1: 0.075ms
3.0 cpu, 8192 ram, 1 iterations, map___ type, map___ 1: 0.064ms
4.0 cpu, 8192 ram, 1 iterations, object type, object 1: 0.06ms
4.0 cpu, 8192 ram, 1 iterations, array_ type, array_ 1: 0.057ms
4.0 cpu, 8192 ram, 1 iterations, map___ type, map___ 1: 0.068ms
0.5 cpu, 16384 ram, 1 iterations, object type, object 1: 0.058ms
0.5 cpu, 16384 ram, 1 iterations, array_ type, array_ 1: 0.057ms
0.5 cpu, 16384 ram, 1 iterations, map___ type, map___ 1: 0.059ms
1.0 cpu, 16384 ram, 1 iterations, object type, object 1: 0.059ms
1.0 cpu, 16384 ram, 1 iterations, array_ type, array_ 1: 0.067ms
1.0 cpu, 16384 ram, 1 iterations, map___ type, map___ 1: 0.06ms
2.0 cpu, 16384 ram, 1 iterations, object type, object 1: 0.067ms
2.0 cpu, 16384 ram, 1 iterations, array_ type, array_ 1: 0.064ms
2.0 cpu, 16384 ram, 1 iterations, map___ type, map___ 1: 0.057ms
3.0 cpu, 16384 ram, 1 iterations, object type, object 1: 0.06ms
3.0 cpu, 16384 ram, 1 iterations, array_ type, array_ 1: 0.062ms
3.0 cpu, 16384 ram, 1 iterations, map___ type, map___ 1: 0.075ms
4.0 cpu, 16384 ram, 1 iterations, object type, object 1: 0.071ms
4.0 cpu, 16384 ram, 1 iterations, array_ type, array_ 1: 0.056ms
4.0 cpu, 16384 ram, 1 iterations, map___ type, map___ 1: 0.061ms
0.5 cpu, 128 ram, 2 iterations, object type, object 2: 0.057ms
0.5 cpu, 128 ram, 2 iterations, array_ type, array_ 2: 0.067ms
0.5 cpu, 128 ram, 2 iterations, map___ type, map___ 2: 0.058ms
1.0 cpu, 128 ram, 2 iterations, object type, object 2: 0.066ms
1.0 cpu, 128 ram, 2 iterations, array_ type, array_ 2: 0.064ms
1.0 cpu, 128 ram, 2 iterations, map___ type, map___ 2: 0.074ms
2.0 cpu, 128 ram, 2 iterations, object type, object 2: 0.062ms
2.0 cpu, 128 ram, 2 iterations, array_ type, array_ 2: 0.061ms
2.0 cpu, 128 ram, 2 iterations, map___ type, map___ 2: 0.063ms
3.0 cpu, 128 ram, 2 iterations, object type, object 2: 0.068ms
3.0 cpu, 128 ram, 2 iterations, array_ type, array_ 2: 0.057ms
3.0 cpu, 128 ram, 2 iterations, map___ type, map___ 2: 0.06ms
4.0 cpu, 128 ram, 2 iterations, object type, object 2: 0.062ms
4.0 cpu, 128 ram, 2 iterations, array_ type, array_ 2: 0.059ms
4.0 cpu, 128 ram, 2 iterations, map___ type, map___ 2: 0.062ms
0.5 cpu, 256 ram, 2 iterations, object type, object 2: 0.078ms
0.5 cpu, 256 ram, 2 iterations, array_ type, array_ 2: 0.067ms
0.5 cpu, 256 ram, 2 iterations, map___ type, map___ 2: 0.063ms
1.0 cpu, 256 ram, 2 iterations, object type, object 2: 0.062ms
1.0 cpu, 256 ram, 2 iterations, array_ type, array_ 2: 0.063ms
1.0 cpu, 256 ram, 2 iterations, map___ type, map___ 2: 0.066ms
2.0 cpu, 256 ram, 2 iterations, object type, object 2: 0.065ms
2.0 cpu, 256 ram, 2 iterations, array_ type, array_ 2: 0.062ms
2.0 cpu, 256 ram, 2 iterations, map___ type, map___ 2: 0.061ms
3.0 cpu, 256 ram, 2 iterations, object type, object 2: 0.061ms
3.0 cpu, 256 ram, 2 iterations, array_ type, array_ 2: 0.064ms
3.0 cpu, 256 ram, 2 iterations, map___ type, map___ 2: 0.061ms
4.0 cpu, 256 ram, 2 iterations, object type, object 2: 0.063ms
4.0 cpu, 256 ram, 2 iterations, array_ type, array_ 2: 0.066ms
4.0 cpu, 256 ram, 2 iterations, map___ type, map___ 2: 0.059ms
0.5 cpu, 512 ram, 2 iterations, object type, object 2: 0.067ms
0.5 cpu, 512 ram, 2 iterations, array_ type, array_ 2: 0.059ms
0.5 cpu, 512 ram, 2 iterations, map___ type, map___ 2: 0.058ms
1.0 cpu, 512 ram, 2 iterations, object type, object 2: 0.064ms
1.0 cpu, 512 ram, 2 iterations, array_ type, array_ 2: 0.06ms
1.0 cpu, 512 ram, 2 iterations, map___ type, map___ 2: 0.069ms
2.0 cpu, 512 ram, 2 iterations, object type, object 2: 0.079ms
2.0 cpu, 512 ram, 2 iterations, array_ type, array_ 2: 0.058ms
2.0 cpu, 512 ram, 2 iterations, map___ type, map___ 2: 0.06ms
3.0 cpu, 512 ram, 2 iterations, object type, object 2: 0.06ms
3.0 cpu, 512 ram, 2 iterations, array_ type, array_ 2: 0.064ms
3.0 cpu, 512 ram, 2 iterations, map___ type, map___ 2: 0.059ms
4.0 cpu, 512 ram, 2 iterations, object type, object 2: 0.065ms
4.0 cpu, 512 ram, 2 iterations, array_ type, array_ 2: 0.06ms
4.0 cpu, 512 ram, 2 iterations, map___ type, map___ 2: 0.06ms
0.5 cpu, 1024 ram, 2 iterations, object type, object 2: 0.093ms
0.5 cpu, 1024 ram, 2 iterations, array_ type, array_ 2: 0.081ms
0.5 cpu, 1024 ram, 2 iterations, map___ type, map___ 2: 0.057ms
1.0 cpu, 1024 ram, 2 iterations, object type, object 2: 0.084ms
1.0 cpu, 1024 ram, 2 iterations, array_ type, array_ 2: 0.06ms
1.0 cpu, 1024 ram, 2 iterations, map___ type, map___ 2: 0.061ms
2.0 cpu, 1024 ram, 2 iterations, object type, object 2: 0.059ms
2.0 cpu, 1024 ram, 2 iterations, array_ type, array_ 2: 0.059ms
2.0 cpu, 1024 ram, 2 iterations, map___ type, map___ 2: 0.063ms
3.0 cpu, 1024 ram, 2 iterations, object type, object 2: 0.058ms
3.0 cpu, 1024 ram, 2 iterations, array_ type, array_ 2: 0.064ms
3.0 cpu, 1024 ram, 2 iterations, map___ type, map___ 2: 0.066ms
4.0 cpu, 1024 ram, 2 iterations, object type, object 2: 0.081ms
4.0 cpu, 1024 ram, 2 iterations, array_ type, array_ 2: 0.065ms
4.0 cpu, 1024 ram, 2 iterations, map___ type, map___ 2: 0.065ms
0.5 cpu, 2048 ram, 2 iterations, object type, object 2: 0.059ms
0.5 cpu, 2048 ram, 2 iterations, array_ type, array_ 2: 0.067ms
0.5 cpu, 2048 ram, 2 iterations, map___ type, map___ 2: 0.059ms
1.0 cpu, 2048 ram, 2 iterations, object type, object 2: 0.089ms
1.0 cpu, 2048 ram, 2 iterations, array_ type, array_ 2: 0.066ms
1.0 cpu, 2048 ram, 2 iterations, map___ type, map___ 2: 0.071ms
2.0 cpu, 2048 ram, 2 iterations, object type, object 2: 0.062ms
2.0 cpu, 2048 ram, 2 iterations, array_ type, array_ 2: 0.097ms
2.0 cpu, 2048 ram, 2 iterations, map___ type, map___ 2: 0.06ms
3.0 cpu, 2048 ram, 2 iterations, object type, object 2: 0.07ms
3.0 cpu, 2048 ram, 2 iterations, array_ type, array_ 2: 0.066ms
3.0 cpu, 2048 ram, 2 iterations, map___ type, map___ 2: 0.061ms
4.0 cpu, 2048 ram, 2 iterations, object type, object 2: 0.07ms
4.0 cpu, 2048 ram, 2 iterations, array_ type, array_ 2: 0.062ms
4.0 cpu, 2048 ram, 2 iterations, map___ type, map___ 2: 0.07ms
0.5 cpu, 4096 ram, 2 iterations, object type, object 2: 0.066ms
0.5 cpu, 4096 ram, 2 iterations, array_ type, array_ 2: 0.07ms
0.5 cpu, 4096 ram, 2 iterations, map___ type, map___ 2: 0.06ms
1.0 cpu, 4096 ram, 2 iterations, object type, object 2: 0.062ms
1.0 cpu, 4096 ram, 2 iterations, array_ type, array_ 2: 0.056ms
1.0 cpu, 4096 ram, 2 iterations, map___ type, map___ 2: 0.061ms
2.0 cpu, 4096 ram, 2 iterations, object type, object 2: 0.066ms
2.0 cpu, 4096 ram, 2 iterations, array_ type, array_ 2: 0.071ms
2.0 cpu, 4096 ram, 2 iterations, map___ type, map___ 2: 0.058ms
3.0 cpu, 4096 ram, 2 iterations, object type, object 2: 0.062ms
3.0 cpu, 4096 ram, 2 iterations, array_ type, array_ 2: 0.064ms
3.0 cpu, 4096 ram, 2 iterations, map___ type, map___ 2: 0.065ms
4.0 cpu, 4096 ram, 2 iterations, object type, object 2: 0.059ms
4.0 cpu, 4096 ram, 2 iterations, array_ type, array_ 2: 0.076ms
4.0 cpu, 4096 ram, 2 iterations, map___ type, map___ 2: 0.057ms
0.5 cpu, 8192 ram, 2 iterations, object type, object 2: 0.059ms
0.5 cpu, 8192 ram, 2 iterations, array_ type, array_ 2: 0.067ms
0.5 cpu, 8192 ram, 2 iterations, map___ type, map___ 2: 0.056ms
1.0 cpu, 8192 ram, 2 iterations, object type, object 2: 0.058ms
1.0 cpu, 8192 ram, 2 iterations, array_ type, array_ 2: 0.059ms
1.0 cpu, 8192 ram, 2 iterations, map___ type, map___ 2: 0.062ms
2.0 cpu, 8192 ram, 2 iterations, object type, object 2: 0.067ms
2.0 cpu, 8192 ram, 2 iterations, array_ type, array_ 2: 0.059ms
2.0 cpu, 8192 ram, 2 iterations, map___ type, map___ 2: 0.061ms
3.0 cpu, 8192 ram, 2 iterations, object type, object 2: 0.059ms
3.0 cpu, 8192 ram, 2 iterations, array_ type, array_ 2: 0.06ms
3.0 cpu, 8192 ram, 2 iterations, map___ type, map___ 2: 0.07ms
4.0 cpu, 8192 ram, 2 iterations, object type, object 2: 0.062ms
4.0 cpu, 8192 ram, 2 iterations, array_ type, array_ 2: 0.078ms
4.0 cpu, 8192 ram, 2 iterations, map___ type, map___ 2: 0.063ms
0.5 cpu, 16384 ram, 2 iterations, object type, object 2: 0.06ms
0.5 cpu, 16384 ram, 2 iterations, array_ type, array_ 2: 0.056ms
0.5 cpu, 16384 ram, 2 iterations, map___ type, map___ 2: 0.063ms
1.0 cpu, 16384 ram, 2 iterations, object type, object 2: 0.064ms
1.0 cpu, 16384 ram, 2 iterations, array_ type, array_ 2: 0.062ms
1.0 cpu, 16384 ram, 2 iterations, map___ type, map___ 2: 0.058ms
2.0 cpu, 16384 ram, 2 iterations, object type, object 2: 0.064ms
2.0 cpu, 16384 ram, 2 iterations, array_ type, array_ 2: 0.057ms
2.0 cpu, 16384 ram, 2 iterations, map___ type, map___ 2: 0.059ms
3.0 cpu, 16384 ram, 2 iterations, object type, object 2: 0.069ms
3.0 cpu, 16384 ram, 2 iterations, array_ type, array_ 2: 0.061ms
3.0 cpu, 16384 ram, 2 iterations, map___ type, map___ 2: 0.061ms
4.0 cpu, 16384 ram, 2 iterations, object type, object 2: 0.062ms
4.0 cpu, 16384 ram, 2 iterations, array_ type, array_ 2: 0.059ms
4.0 cpu, 16384 ram, 2 iterations, map___ type, map___ 2: 0.064ms
0.5 cpu, 128 ram, 3 iterations, object type, object 3: 0.063ms
0.5 cpu, 128 ram, 3 iterations, array_ type, array_ 3: 0.061ms
0.5 cpu, 128 ram, 3 iterations, map___ type, map___ 3: 0.06ms
1.0 cpu, 128 ram, 3 iterations, object type, object 3: 0.058ms
1.0 cpu, 128 ram, 3 iterations, array_ type, array_ 3: 0.075ms
1.0 cpu, 128 ram, 3 iterations, map___ type, map___ 3: 0.065ms
2.0 cpu, 128 ram, 3 iterations, object type, object 3: 0.068ms
2.0 cpu, 128 ram, 3 iterations, array_ type, array_ 3: 0.056ms
2.0 cpu, 128 ram, 3 iterations, map___ type, map___ 3: 0.058ms
3.0 cpu, 128 ram, 3 iterations, object type, object 3: 0.072ms
3.0 cpu, 128 ram, 3 iterations, array_ type, array_ 3: 0.06ms
3.0 cpu, 128 ram, 3 iterations, map___ type, map___ 3: 0.063ms
4.0 cpu, 128 ram, 3 iterations, object type, object 3: 0.064ms
4.0 cpu, 128 ram, 3 iterations, array_ type, array_ 3: 0.064ms
4.0 cpu, 128 ram, 3 iterations, map___ type, map___ 3: 0.064ms
0.5 cpu, 256 ram, 3 iterations, object type, object 3: 0.065ms
0.5 cpu, 256 ram, 3 iterations, array_ type, array_ 3: 0.064ms
0.5 cpu, 256 ram, 3 iterations, map___ type, map___ 3: 0.058ms
1.0 cpu, 256 ram, 3 iterations, object type, object 3: 0.062ms
1.0 cpu, 256 ram, 3 iterations, array_ type, array_ 3: 0.064ms
1.0 cpu, 256 ram, 3 iterations, map___ type, map___ 3: 0.059ms
2.0 cpu, 256 ram, 3 iterations, object type, object 3: 0.06ms
2.0 cpu, 256 ram, 3 iterations, array_ type, array_ 3: 0.058ms
2.0 cpu, 256 ram, 3 iterations, map___ type, map___ 3: 0.057ms
3.0 cpu, 256 ram, 3 iterations, object type, object 3: 0.06ms
3.0 cpu, 256 ram, 3 iterations, array_ type, array_ 3: 0.056ms
3.0 cpu, 256 ram, 3 iterations, map___ type, map___ 3: 0.062ms
4.0 cpu, 256 ram, 3 iterations, object type, object 3: 0.063ms
4.0 cpu, 256 ram, 3 iterations, array_ type, array_ 3: 0.066ms
4.0 cpu, 256 ram, 3 iterations, map___ type, map___ 3: 0.061ms
0.5 cpu, 512 ram, 3 iterations, object type, object 3: 0.063ms
0.5 cpu, 512 ram, 3 iterations, array_ type, array_ 3: 0.063ms
0.5 cpu, 512 ram, 3 iterations, map___ type, map___ 3: 0.059ms
1.0 cpu, 512 ram, 3 iterations, object type, object 3: 0.058ms
1.0 cpu, 512 ram, 3 iterations, array_ type, array_ 3: 0.063ms
1.0 cpu, 512 ram, 3 iterations, map___ type, map___ 3: 0.059ms
2.0 cpu, 512 ram, 3 iterations, object type, object 3: 0.06ms
2.0 cpu, 512 ram, 3 iterations, array_ type, array_ 3: 0.064ms
2.0 cpu, 512 ram, 3 iterations, map___ type, map___ 3: 0.058ms
3.0 cpu, 512 ram, 3 iterations, object type, object 3: 0.059ms
3.0 cpu, 512 ram, 3 iterations, array_ type, array_ 3: 0.056ms
3.0 cpu, 512 ram, 3 iterations, map___ type, map___ 3: 0.061ms
4.0 cpu, 512 ram, 3 iterations, object type, object 3: 0.063ms
4.0 cpu, 512 ram, 3 iterations, array_ type, array_ 3: 0.068ms
4.0 cpu, 512 ram, 3 iterations, map___ type, map___ 3: 0.058ms
0.5 cpu, 1024 ram, 3 iterations, object type, object 3: 0.065ms
0.5 cpu, 1024 ram, 3 iterations, array_ type, array_ 3: 0.068ms
0.5 cpu, 1024 ram, 3 iterations, map___ type, map___ 3: 0.062ms
1.0 cpu, 1024 ram, 3 iterations, object type, object 3: 0.064ms
1.0 cpu, 1024 ram, 3 iterations, array_ type, array_ 3: 0.062ms
1.0 cpu, 1024 ram, 3 iterations, map___ type, map___ 3: 0.062ms
2.0 cpu, 1024 ram, 3 iterations, object type, object 3: 0.062ms
2.0 cpu, 1024 ram, 3 iterations, array_ type, array_ 3: 0.065ms
2.0 cpu, 1024 ram, 3 iterations, map___ type, map___ 3: 0.059ms
3.0 cpu, 1024 ram, 3 iterations, object type, object 3: 0.063ms
3.0 cpu, 1024 ram, 3 iterations, array_ type, array_ 3: 0.064ms
3.0 cpu, 1024 ram, 3 iterations, map___ type, map___ 3: 0.068ms
4.0 cpu, 1024 ram, 3 iterations, object type, object 3: 0.062ms
4.0 cpu, 1024 ram, 3 iterations, array_ type, array_ 3: 0.057ms
4.0 cpu, 1024 ram, 3 iterations, map___ type, map___ 3: 0.063ms
0.5 cpu, 2048 ram, 3 iterations, object type, object 3: 0.065ms
0.5 cpu, 2048 ram, 3 iterations, array_ type, array_ 3: 0.061ms
0.5 cpu, 2048 ram, 3 iterations, map___ type, map___ 3: 0.069ms
1.0 cpu, 2048 ram, 3 iterations, object type, object 3: 0.06ms
1.0 cpu, 2048 ram, 3 iterations, array_ type, array_ 3: 0.064ms
1.0 cpu, 2048 ram, 3 iterations, map___ type, map___ 3: 0.058ms
2.0 cpu, 2048 ram, 3 iterations, object type, object 3: 0.07ms
2.0 cpu, 2048 ram, 3 iterations, array_ type, array_ 3: 0.059ms
2.0 cpu, 2048 ram, 3 iterations, map___ type, map___ 3: 0.059ms
3.0 cpu, 2048 ram, 3 iterations, object type, object 3: 0.065ms
3.0 cpu, 2048 ram, 3 iterations, array_ type, array_ 3: 0.07ms
3.0 cpu, 2048 ram, 3 iterations, map___ type, map___ 3: 0.072ms
4.0 cpu, 2048 ram, 3 iterations, object type, object 3: 0.064ms
4.0 cpu, 2048 ram, 3 iterations, array_ type, array_ 3: 0.056ms
4.0 cpu, 2048 ram, 3 iterations, map___ type, map___ 3: 0.069ms
0.5 cpu, 4096 ram, 3 iterations, object type, object 3: 0.073ms
0.5 cpu, 4096 ram, 3 iterations, array_ type, array_ 3: 0.067ms
0.5 cpu, 4096 ram, 3 iterations, map___ type, map___ 3: 0.057ms
1.0 cpu, 4096 ram, 3 iterations, object type, object 3: 0.058ms
1.0 cpu, 4096 ram, 3 iterations, array_ type, array_ 3: 0.058ms
1.0 cpu, 4096 ram, 3 iterations, map___ type, map___ 3: 0.066ms
2.0 cpu, 4096 ram, 3 iterations, object type, object 3: 0.061ms
2.0 cpu, 4096 ram, 3 iterations, array_ type, array_ 3: 0.064ms
2.0 cpu, 4096 ram, 3 iterations, map___ type, map___ 3: 0.071ms
3.0 cpu, 4096 ram, 3 iterations, object type, object 3: 0.059ms
3.0 cpu, 4096 ram, 3 iterations, array_ type, array_ 3: 0.059ms
3.0 cpu, 4096 ram, 3 iterations, map___ type, map___ 3: 0.079ms
4.0 cpu, 4096 ram, 3 iterations, object type, object 3: 0.062ms
4.0 cpu, 4096 ram, 3 iterations, array_ type, array_ 3: 0.067ms
4.0 cpu, 4096 ram, 3 iterations, map___ type, map___ 3: 0.068ms
0.5 cpu, 8192 ram, 3 iterations, object type, object 3: 0.076ms
0.5 cpu, 8192 ram, 3 iterations, array_ type, array_ 3: 0.061ms
0.5 cpu, 8192 ram, 3 iterations, map___ type, map___ 3: 0.061ms
1.0 cpu, 8192 ram, 3 iterations, object type, object 3: 0.061ms
1.0 cpu, 8192 ram, 3 iterations, array_ type, array_ 3: 0.062ms
1.0 cpu, 8192 ram, 3 iterations, map___ type, map___ 3: 0.056ms
2.0 cpu, 8192 ram, 3 iterations, object type, object 3: 0.064ms
2.0 cpu, 8192 ram, 3 iterations, array_ type, array_ 3: 0.058ms
2.0 cpu, 8192 ram, 3 iterations, map___ type, map___ 3: 0.059ms
3.0 cpu, 8192 ram, 3 iterations, object type, object 3: 0.063ms
3.0 cpu, 8192 ram, 3 iterations, array_ type, array_ 3: 0.063ms
3.0 cpu, 8192 ram, 3 iterations, map___ type, map___ 3: 0.065ms
4.0 cpu, 8192 ram, 3 iterations, object type, object 3: 0.086ms
4.0 cpu, 8192 ram, 3 iterations, array_ type, array_ 3: 0.062ms
4.0 cpu, 8192 ram, 3 iterations, map___ type, map___ 3: 0.063ms
0.5 cpu, 16384 ram, 3 iterations, object type, object 3: 0.061ms
0.5 cpu, 16384 ram, 3 iterations, array_ type, array_ 3: 0.065ms
0.5 cpu, 16384 ram, 3 iterations, map___ type, map___ 3: 0.067ms
1.0 cpu, 16384 ram, 3 iterations, object type, object 3: 0.061ms
1.0 cpu, 16384 ram, 3 iterations, array_ type, array_ 3: 0.061ms
1.0 cpu, 16384 ram, 3 iterations, map___ type, map___ 3: 0.063ms
2.0 cpu, 16384 ram, 3 iterations, object type, object 3: 0.067ms
2.0 cpu, 16384 ram, 3 iterations, array_ type, array_ 3: 0.066ms
2.0 cpu, 16384 ram, 3 iterations, map___ type, map___ 3: 0.06ms
3.0 cpu, 16384 ram, 3 iterations, object type, object 3: 0.068ms
3.0 cpu, 16384 ram, 3 iterations, array_ type, array_ 3: 0.058ms
3.0 cpu, 16384 ram, 3 iterations, map___ type, map___ 3: 0.061ms
4.0 cpu, 16384 ram, 3 iterations, object type, object 3: 0.062ms
4.0 cpu, 16384 ram, 3 iterations, array_ type, array_ 3: 0.058ms
4.0 cpu, 16384 ram, 3 iterations, map___ type, map___ 3: 0.065ms
0.5 cpu, 128 ram, 4 iterations, object type, object 4: 0.062ms
0.5 cpu, 128 ram, 4 iterations, array_ type, array_ 4: 0.058ms
0.5 cpu, 128 ram, 4 iterations, map___ type, map___ 4: 0.058ms
1.0 cpu, 128 ram, 4 iterations, object type, object 4: 0.059ms
